Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,Condition_Id,copy_of_copy_of_cross,copy_of_copy_of_Translation,copy_of_copy_of_Trial_Nr,copy_of_cross,copy_of_cross_context,copy_of_PROGRESS,copy_of_Translation,copy_of_Trial_Nr,copy_of_Trial_Nr_1,copy_of_Trial_Nr_cont_gr2,copy_Trial_Nr_context-gr2,Countdown,cross,cross_cont_gr2,cross-cont_gr2,Environment,factor_2_tg0_task3,Goal,Native lanaguage,other animals,Output device,Pilot,previous work,PROGRESS,PROGRESS_cont_gr2,PROGRESS_context,PROGRESS_context-gr2,PROGRESS-cont_gr2,PROGRESS-cont-gr2,quantity,toughness,toughness ,Translation,Translation_cont_gr2,Translation_context,Translation_context-gr2,Translation-cont_gr2,Translation-cont-gr2,Trial_Nr_cont_gr2,Trial_Nr_context-gr2,Trial_Nr-cont_gr2,Trial_Nr-cont_gr2,Trial_Nr-cont-gr2,Trial_Nr-context,undefined_name,undefined_name,Video control
1114383,1,1,block_1,1,imported_Greetings,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,1,1,block_1,1,Survey,2,1,"","","","","","","","","","","","","","","",option_0,"","",Afrikaans ,option_1,option_0,"",option_1,"","","","","","","","","","","","","","","","","","","","","","","",""
1114383,1,1,block_1,1,Instructions,3,1,"","","","","","","","","","","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,1,20,block_3,2,Ape task without context group 2,1,1,"","","","","","",Affection ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,2,17,block_3,2,Ape task without context group 2,1,1,"","","","","","","To give, he needs something ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,3,7,block_3,2,Ape task without context group 2,1,1,"","","","","","",To move the other chimp put of the way,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,4,8,block_3,2,Ape task without context group 2,1,1,"","","","","","",To let the other chimp eat or taste ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,5,19,block_3,2,Ape task without context group 2,1,1,"","","","","","",Protection ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,6,13,block_3,2,Ape task without context group 2,1,1,"","","","","","",Show defiance or for mating ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,7,4,block_3,2,Ape task without context group 2,1,1,"","","","","","",Attention seeking ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,8,12,block_3,2,Ape task without context group 2,1,1,"","","","","","",Mating ritual ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,9,18,block_3,2,Ape task without context group 2,1,1,"","","","","","",To feed another chimp ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,10,3,block_3,2,Ape task without context group 2,1,1,"","","","","","",Seeking attention ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,11,11,block_3,2,Ape task without context group 2,1,1,"","","","","","",To give something or alert,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,12,5,block_3,2,Ape task without context group 2,1,1,"","","","","","",Grooming gesture,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,13,2,block_3,2,Ape task without context group 2,1,1,"","","","","","",Attention or intimidation ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,14,10,block_3,2,Ape task without context group 2,1,1,"","","","","","",To intimidate,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,15,14,block_3,2,Ape task without context group 2,1,1,"","","","","","",Mating ritual ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,16,16,block_3,2,Ape task without context group 2,1,1,"","","","","","",Communication ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,17,1,block_3,2,Ape task without context group 2,1,1,"","","","","","",Playfulness and attention seeking ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,18,6,block_3,2,Ape task without context group 2,1,1,"","","","","","",Annoyance ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,19,9,block_3,2,Ape task without context group 2,1,1,"","","","","","",Affection ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,20,15,block_3,2,Ape task without context group 2,1,1,"","","","","","",Attention seeking ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,1,1,block_6,3,imported_Transition slide,1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1114383,1,1,block_6,3,imported_Closing survey,2,1,"","","","","","","","","","","","","","","","","",How individuals perceive chimpanzee behaviour ,"","","","","","","","","","","",3,"",2,"","","","","","","","","","","","","","",""
1114383,1,1,block_6,3,imported_Finish,3,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
